Customer #	Interarrival Time (minutes)	Service Time
1	3.83	2.18
2	5.09	4.18
3	5.62	2.23
4	6.03	3.26
5	4.54	3.76
6	4.10	2.94
7	3.11	3.16
8	4.25	2.32
9	3.55	3.54
10	2.88	4.37
11	4.96	1.56
12	3.97	4.14
13	4.32	0.80
14	4.66	3.12
15	6.24	3.92
16	4.04	4.19
17	2.80	2.50
18	5.79	3.08
19	4.13	3.76
20	4.27	3.49
21	3.60	2.53
22	2.73	3.22
23	3.20	3.00
24	4.17	2.06
25	4.19	5.29
26	4.12	2.32
27	2.65	2.56
28	2.31	2.90
29	4.66	4.10
30	3.44	2.73
31	4.21	1.72
32	4.72	3.61
33	4.55	3.16
34	3.54	3.40
35	2.42	3.72
36	4.07	2.73
37	4.75	3.24
38	5.49	2.82
39	3.59	2.61
40	4.58	1.83
41	2.40	2.98
42	4.74	4.28
43	4.57	3.67
44	3.10	3.40
45	3.76	3.65
46	5.20	2.46
47	3.86	3.94
48	2.48	2.17
49	1.47	5.03
50	2.85	3.69
51	4.93	0.98
52	3.49	3.29
53	4.06	3.09
54	3.44	3.33
55	3.13	2.73
56	2.84	0.95
57	5.32	3.02
58	4.73	2.37
59	4.02	3.80
60	4.79	2.66
61	3.57	1.40
62	3.10	3.19
63	2.52	2.99
64	2.46	3.42
65	5.36	3.68
66	2.96	1.70
67	3.31	2.16
68	1.39	2.61
69	3.65	2.53
70	4.17	3.42
71	3.60	2.08
72	4.77	3.28
73	6.45	4.49
74	6.47	0.58
75	3.20	2.91
76	4.07	3.07
77	4.19	3.32
78	3.26	2.87
79	3.84	2.33
80	5.14	1.87
81	2.59	3.10
82	4.46	3.23
83	4.11	3.47
84	3.18	1.84
85	3.70	3.96
86	4.46	2.85
87	2.94	3.43
88	3.80	5.01
89	3.78	3.76
90	4.51	1.46
91	3.84	1.39
92	3.98	2.57
93	3.97	5.19
94	4.55	2.74
95	3.44	2.03
96	5.29	4.94
97	3.33	5.48
98	4.59	2.10
99	2.85	2.99
100	4.63	2.89
101	5.28	1.07
102	4.55	1.62
103	4.41	2.44
104	4.39	2.29
105	3.54	2.31
106	3.55	2.48
107	3.49	2.83
108	3.50	2.68
109	3.95	1.56
110	4.61	2.60
111	4.97	2.30
112	2.77	2.47
113	3.58	1.72
114	4.92	0.68
115	4.22	2.46
116	3.92	3.22
117	3.39	0.88
118	4.03	3.28
119	4.01	2.58
120	3.86	3.31
121	4.36	2.79
122	3.05	3.00
123	2.78	1.93
124	4.63	4.84
125	4.41	2.93
126	4.53	2.89
127	2.07	3.62
128	4.05	3.87
129	3.74	2.51
130	5.35	3.63
131	4.99	0.09
132	5.37	2.44
133	4.75	2.39
134	4.47	1.53
135	6.05	4.55
136	4.79	2.69
137	3.64	2.78
138	3.40	2.30
139	3.71	2.66
140	3.45	2.39
141	4.93	3.18
142	5.19	1.63
143	4.66	2.02
144	3.73	1.70
145	4.12	1.32
146	3.67	2.91
147	4.54	2.68
148	3.39	5.06
149	4.93	2.17
150	4.62	4.36
151	3.13	2.42
152	2.21	1.68
153	6.11	2.02
154	2.55	5.26
155	4.34	3.71
156	4.52	3.80
157	4.65	2.10
158	3.65	2.56
159	3.50	3.14
160	4.71	2.82
161	4.45	2.58
162	2.77	2.63
163	3.62	4.49
164	3.15	2.59
165	5.78	2.79
166	6.10	3.74
167	4.03	2.29
168	2.72	3.19
169	2.06	3.44
170	4.91	3.77
171	4.91	1.07
172	5.80	3.62
173	4.42	2.76
174	4.03	2.36
175	4.09	1.49
176	5.33	3.74
177	5.24	3.91
178	3.22	3.59
179	5.09	4.61
180	3.08	4.52
181	4.00	3.79
182	2.28	3.00
183	2.43	2.94
184	4.02	2.83
185	1.20	0.65
186	3.02	1.52
187	2.01	5.64
188	3.91	5.22
189	3.54	4.61
190	5.28	3.50
191	3.25	3.16
192	4.18	3.17
193	3.68	5.11
194	3.77	3.78
195	3.62	2.22
196	3.98	3.79
197	3.96	2.74
198	3.47	4.07
199	3.42	3.49
200	3.16	2.86
201	2.12	3.48
202	4.20	3.52
203	4.28	1.18
204	3.51	3.42
205	4.24	2.05
206	3.71	3.77
207	4.63	2.51
208	4.46	3.05
209	4.47	2.57
210	3.22	1.64
211	4.36	2.85
212	5.69	2.61
213	5.07	1.31
214	4.47	2.43
215	4.54	2.27
216	4.23	2.37
217	4.02	2.53
218	3.50	1.41
219	3.60	1.05
220	3.95	3.24
221	5.46	2.92
222	3.82	2.79
223	4.29	3.12
224	3.74	0.93
225	3.71	2.53
226	4.61	2.86
227	2.86	2.55
228	2.88	3.84
229	2.48	2.18
230	4.77	3.64
231	3.38	4.33
232	3.89	1.70
233	5.52	2.68
234	5.26	1.92
235	2.73	3.01
236	4.13	2.10
237	2.69	2.29
238	4.57	1.36
239	4.94	3.15
240	2.57	2.54
241	3.92	2.83
242	3.66	4.20
243	2.98	6.72
244	3.31	4.79
245	4.18	2.34
246	4.16	2.61
247	4.14	1.87
248	3.46	5.74
249	5.09	2.35
250	3.43	3.45
251	2.75	3.62
252	5.00	1.53
253	5.31	1.89
254	4.71	2.76
255	4.43	4.54
256	3.44	2.25
257	2.57	4.01
258	3.45	3.11
259	2.69	4.59
260	5.33	2.94
261	2.60	2.76
262	4.99	2.97
263	2.92	1.80
264	5.37	2.20
265	3.43	3.12
266	4.35	2.88
267	5.75	4.08
268	2.55	5.53
269	3.24	3.52
270	6.28	2.98
271	4.36	3.36
272	3.89	4.06
273	5.03	3.41
274	5.10	2.90
275	3.89	4.27
276	3.49	3.76
277	6.40	1.62
278	4.45	2.39
279	2.99	1.87
280	4.13	4.01
281	4.53	2.50
282	2.71	4.62
283	4.88	4.05
284	5.61	1.30
285	4.94	3.16
286	3.52	3.51
287	3.89	2.56
288	4.83	3.41
289	5.38	2.29
290	4.68	4.25
291	2.77	3.21
292	2.52	2.90
293	4.67	3.95
294	4.54	3.31
295	2.52	2.94
296	5.56	5.64
297	3.35	2.79
298	3.82	4.55
299	3.08	2.25
300	3.74	2.20
301	2.57	1.92
302	4.17	4.78
303	3.88	3.93
304	4.57	2.02
305	3.79	2.56
306	4.78	3.11
307	4.67	-0.04
308	4.65	2.70
309	3.66	4.27
310	5.30	4.35
311	4.55	3.62
312	2.60	2.73
313	4.53	3.69
314	4.08	3.84
315	3.71	3.56
316	4.55	3.43
317	4.43	2.29
318	3.47	3.32
319	3.86	2.74
320	4.30	4.00
321	4.35	4.28
322	3.79	2.98
323	4.48	2.76
324	2.65	3.40
325	3.87	2.76
326	4.48	1.71
327	3.51	2.99
328	3.99	4.39
329	4.34	3.72
330	5.82	1.83
331	3.28	1.97
332	5.57	3.92
333	3.73	4.55
334	3.81	2.19
335	2.64	1.68
336	3.39	2.90
337	4.27	1.42
338	4.90	2.96
339	3.17	3.20
340	3.65	4.25
341	5.40	2.35
342	3.12	3.38
343	3.29	1.96
344	3.48	3.49
345	3.80	3.55
346	3.81	2.26
347	3.63	2.50
348	2.71	4.58
349	4.00	4.48
350	2.96	1.11
351	4.41	2.09
352	3.27	4.26
353	5.68	3.20
354	2.72	2.21
355	3.54	3.13
356	3.88	3.62
357	2.65	3.41
358	5.57	2.37
359	4.24	5.04
360	2.44	4.16
361	3.23	3.68
362	4.27	2.92
363	3.51	3.44
364	4.57	4.84
365	4.53	3.34
366	3.44	2.69
367	3.70	3.00
368	3.86	3.26
369	4.88	2.97
370	4.34	4.40
371	3.56	2.22
372	3.82	3.13
373	5.23	2.56
374	4.29	3.68
375	3.95	3.05
376	4.95	4.18
377	3.59	2.45
378	4.34	1.71
379	7.46	3.23
380	3.54	1.15
381	3.61	3.14
382	3.48	2.34
383	5.21	3.62
384	2.54	3.53
385	2.32	1.67
386	4.54	3.01
387	3.91	2.30
